Corpus,Amount,Duplicates
52297724,2,"[118537539, 52297724]"
47575402,2,"[47575402, 47563058]"
167097700,4,"[165328058, 166474003, 167097700, 198676343]"
147036238,2,"[165041889, 147036238]"
125309718,3,"[67279585, 125309718, 121180407]"
214750692,9,"[214750692, 214751365, 214749195, 214749970, 214750035, 214751765, 214750618, 214750014, 214749759]"
92396055,4,"[92118304, 91868121, 92396055, 92673119]"
127667823,2,"[127937379, 127667823]"
162457952,2,"[162457952, 150319479]"
121845,4,"[196688413, 54581682, 54488620, 121845]"
4736670,2,"[4751377, 4736670]"
86890982,3,"[87642468, 187634404, 86890982]"
195113044,10,"[195104131, 195108900, 195097869, 195114061, 195098192, 195113044, 195107988, 195103574, 195116286, 195116383]"
23247955,2,"[35742593, 23247955]"
94196041,2,"[94196041, 93212381]"
184718910,4,"[184718910, 182960537, 183728548, 184007998]"
165253445,3,"[144103777, 165253445, 189449798]"
93898391,4,"[93616120, 94474993, 146046380, 93898391]"
7201700,4,"[42290720, 30611868, 7201700, 8026940]"
101087076,4,"[134829912, 101087076, 133941268, 134368852]"
120624362,2,"[120624362, 40317527]"
5166418,4,"[5166418, 31159562, 4305260, 42434317]"
49644087,2,"[210933707, 49644087]"
195146945,3,"[195146945, 195148689, 195124899]"
170022524,5,"[169793958, 86453066, 169261358, 3993104, 170022524]"
16028209,4,"[16644753, 14439155, 17156100, 16028209]"
49539603,4,"[69549986, 49539603, 139643773, 115357654]"
185375932,5,"[183702318, 108796720, 183274203, 185375932, 184190814]"
189835181,8,"[189836832, 189833059, 189835181, 189835248, 189833713, 189834453, 189836155, 189834207]"
211188525,2,"[156634826, 211188525]"
156634826,2,"[156634826, 211188525]"
152187819,3,"[147153936, 152187819, 130261007]"
68522144,4,"[58447072, 68522144, 73411003, 68018352]"
5239539,7,"[27470246, 37446695, 54389311, 5239539, 54362291, 54375869, 195214911]"
6000202,3,"[6000202, 13542955, 38376018]"
200152942,4,"[157450001, 157680682, 200152942, 157394122]"
103828341,10,"[140039014, 103013351, 105919943, 103272136, 103537037, 140074830, 103714224, 139675185, 139340083, 103828341]"
151280941,2,"[151111076, 151280941]"
193555319,7,"[193544999, 162776460, 159288845, 162690194, 193555319, 162150745, 160523837]"
12774068,3,"[34812107, 12774068, 27470463]"
73309650,2,"[73309650, 109858563]"
52820364,5,"[18606113, 80062980, 79897349, 52820364, 57184951]"
146840790,2,"[146840790, 111435526]"
71836343,2,"[41457432, 71836343]"
87659517,4,"[88294200, 85961706, 91507762, 87659517]"
17314099,3,"[11000914, 17314099, 55774348]"
134675978,3,"[133931936, 134675978, 133870059]"
204100054,7,"[204118315, 204096780, 204148173, 204140909, 204100054, 204123350, 204123132]"
166446226,6,"[166921830, 168137578, 166519116, 168143117, 166446226, 166598586]"
187903232,4,"[187903232, 186537383, 189390627, 108735591]"
121613959,2,"[17421565, 121613959]"
163634521,2,"[163634521, 147629909]"
29602863,3,"[25093765, 30782262, 29602863]"
63072164,3,"[64091426, 63072164, 59312450]"
169222308,5,"[169222308, 170266756, 170918347, 192448822, 211928507]"
8816978,3,"[8816978, 29013444, 24435357]"
45595699,3,"[45220728, 20645521, 45595699]"
171813141,3,"[171813141, 201709883, 201766797]"
120082994,2,"[195070138, 120082994]"
208015782,5,"[210510562, 208015782, 210510215, 199545516, 211216526]"
188232965,4,"[198824561, 153062900, 188232965, 188642919]"
198127859,3,"[198969738, 198127859, 85959630]"
195857770,3,"[195857841, 195857770, 88538954]"
133996599,5,"[134394048, 133735232, 134497763, 133996599, 134649433]"
19156465,2,"[19156465, 72524460]"
51656416,3,"[51656416, 51637940, 51673749]"
29439820,3,"[8557425, 29439820, 11631406]"
123235493,2,"[123235493, 94284719]"
10824901,2,"[99081396, 10824901]"
195862817,3,"[195862817, 26713452, 168386637]"
813469,2,"[53433757, 813469]"
43453715,3,"[3621432, 12549593, 43453715]"
201140721,5,"[201125569, 201901645, 202778863, 201140721, 201128593]"
129932852,5,"[128278916, 140704678, 129979630, 129932852, 130116639]"
119511094,4,"[17809673, 37753124, 117866308, 119511094]"
14870238,3,"[17629556, 119532973, 14870238]"
195672614,3,"[9062904, 195670602, 195672614]"
196597604,2,"[196597604, 23360055]"
6621268,2,"[199667819, 6621268]"
118631780,2,"[118631780, 194703]"
119447761,3,"[119447761, 17144619, 3052733]"
14774270,3,"[15583142, 119496893, 14774270]"
15381570,3,"[15381570, 1419740, 16843230]"
144986065,3,"[144986065, 165805435, 163567565]"
165400424,2,"[165400424, 170219458]"
165891519,2,"[164003301, 165891519]"
197760185,3,"[152810416, 197760185, 198614629]"
199800376,2,"[199800376, 169868229]"
6853836,3,"[140133168, 6853836, 54561212]"
25702927,4,"[10086512, 22096044, 25715406, 25702927]"
141709131,2,"[141709131, 66145887]"
147208641,3,"[144450560, 147208641, 78361659]"
139704810,3,"[56486593, 139704810, 208767973]"
169434930,3,"[6440865, 169434930, 198686633]"
186209943,3,"[186207916, 93708908, 186209943]"
32988851,2,"[32988851, 196603414]"
196404451,2,"[112857, 196404451]"
90506289,3,"[90506289, 86674315, 86501669]"
68994630,3,"[142085106, 145632676, 68994630]"
35936134,3,"[39693274, 38504923, 35936134]"
208496591,3,"[208496591, 1417491, 82048807]"
203728263,3,"[203832297, 208372076, 203728263]"
76722056,3,"[76722056, 38320626, 902895]"
72113935,2,"[72408112, 72113935]"
119373362,3,"[100750216, 136851394, 119373362]"
36178120,3,"[36178120, 39492009, 208151780]"
35620680,3,"[35620680, 1293531, 195883046]"
197406922,2,"[197406922, 22827751]"
134136673,2,"[134136673, 133696957]"
19064154,4,"[43185600, 44256362, 23547394, 19064154]"
61448798,2,"[61448798, 14483807]"
54430579,3,"[54406178, 54430579, 54414445]"
704383,3,"[704383, 17052695, 56828023]"
