Corpus,Amount,Duplicates
147036238,4,165041889 112151130 146979276 147036238
125309718,4,67279585 124439303 125309718 121180407
214750692,4,214750618 214749195 214750692 214750014
92396055,4,92118304 91868121 92396055 92673119
127667823,4,129222502 127937379 133679982 127667823
162457952,4,162457952 158161623 158928571 150319479
121845,4,196688413 54581682 54488620 121845
4736670,4,4750752 4751377 4736409 4736670
86890982,4,87642468 87957995 187634404 86890982
195113044,4,195113338 195104131 195113044 195105286
23247955,4,35742593 486226 23247955 5347628
44869089,4,44869089 2374866 32546060 37284303
94196041,4,94196041 93681757 97628660 93212381
184718910,4,184718910 182960537 183728548 184007998
165253445,4,144103777 202928547 165253445 189449798
93898391,4,93616120 94474993 146046380 93898391
7201700,4,42290720 30611868 7201700 8026940
101087076,4,134829912 101087076 133941268 134368852
120624362,4,120564265 120624362 39874773 40317527
5166418,4,5166418 31159562 4305260 42434317
143570519,4,143654810 143570519 144849358 144370751
49644087,4,195772280 210933707 210934388 49644087
195146945,4,195133769 195148689 195124899 195146945
170022524,4,169261358 86453066 170022524 169793958
16028209,4,16644753 14439155 17156100 16028209
128933651,4,135412457 128933651 134104125 134964335
49539603,4,69549986 49539603 139643773 115357654
185375932,4,183702318 183274203 185375932 184190814
43964778,4,195214911 43930449 43964778 43936932
189835181,4,215144887 189839109 189838492 189835181
211188525,2,156634826 211188525
156634826,2,156634826 211188525
152187819,3,147153936 152187819 130261007
68522144,3,58447072 68522144 68018352
165430200,3,166097176 165496050 165430200
5239539,3,27470246 37446695 5239539
6000202,3,6000202 13542955 38376018
200152942,3,204410823 157680682 200152942
103828341,3,105919943 103714224 103828341
151280941,3,143988778 151280941 197724634
193555319,3,211192546 193555319 162150745
12774068,3,821616 12774068 27470463
73309650,3,109858563 73309650 72313655
52820364,3,18606113 79897349 52820364
189832674,3,189834912 189832674 189835187
45185731,3,35863408 40732689 45185731
146840790,3,155258617 146840790 111435526
71836343,3,20119977 6119746 71836343
30922190,3,71546737 37152876 30922190
10081838,3,204978664 32364748 10081838
87659517,3,85961706 91507762 87659517
189839491,3,189840297 189838795 189839491
17314099,3,11000914 17314099 16066594
134675978,3,134844153 135360506 134675978
204100054,3,208604562 204123132 204100054
166446226,3,166446226 166519116 166921830
187903232,3,187903232 186537383 189390627
121613959,3,17421565 43151318 121613959
124017656,3,124017656 124740840 123088599
173187343,3,121974673 124811467 173187343
163634521,3,163634521 155957266 147629909
29602863,3,25093765 30782262 29602863
63072164,3,64091426 63072164 59312450
169222308,3,170918347 169222308 192448822
159185288,3,159185288 153551548 159086845
8816978,3,8816978 29013444 24435357
28734005,3,29788715 28734005 21415581
45595699,3,45220728 20645521 45595699
171813141,3,171813141 201709883 201766797
120082994,3,195070138 120082994 16076359
208015782,3,210510562 199545516 208015782
188232965,3,198824561 188232965 188642919
198127859,3,198969738 198127859 85959630
195857770,3,195857841 195857770 88538954
36312044,3,35560752 36312044 12587902
133996599,3,134649433 134497763 133996599
19156465,3,19156465 72524460 80556788
92543037,3,92525586 91589947 92543037
51656416,3,51656416 51637940 51673749
174755681,3,174755681 176757379 163104694
29439820,3,8557425 29439820 11631406
123235493,3,121922145 123235493 118596422
37353725,3,7816504 77932888 37353725
10824901,3,104244377 99081396 10824901
195862817,3,195862817 26713452 168386637
813469,3,53433757 813469 4742333
43453715,3,3621432 12549593 43453715
201140721,3,201140721 201128593 201125569
129932852,3,129932852 140704678 130116639
186839183,3,188774688 188121284 186839183
119511094,3,17809673 119511094 121610551
14870238,3,17629556 119532973 14870238
195672614,3,9062904 195670602 195672614
196597604,3,208327416 196597604 23360055
6621268,3,123563881 199667819 6621268
118631780,3,27193154 118631780 194703
119447761,3,119447761 17144619 3052733
14774270,3,15583142 119496893 14774270
15381570,3,15381570 1419740 16843230
144986065,3,144986065 165805435 163567565
165400424,3,165400424 170219458 170966671
165891519,3,146850892 164003301 165891519
153840121,3,153840121 156728562 149620966
197760185,3,152810416 197760185 198614629
31858123,3,35345642 31858123 43875396
199800376,3,199800376 169057892 169868229
6853836,3,140133168 6853836 54561212
194252216,3,194252216 193856996 192614988
25702927,3,10086512 25715406 25702927
199713239,3,195241330 42388611 199713239
141709131,3,141709131 66145887 210662303
37540796,3,37540796 39647069 2860727
128565877,3,128852802 128565877 129302717
147208641,3,144450560 147208641 78361659
5228283,3,23880218 5228283 36171807
139704810,3,56486593 139704810 208767973
124603931,3,197488288 126334002 124603931
169434930,3,6440865 169434930 198686633
186209943,3,186207916 93708908 186209943
32988851,3,32988851 196603414 197345087
155887260,3,155887260 124341566 163080351
196404451,3,112857 196404451 85080278
90506289,3,90506289 86674315 86501669
2611044,3,2611044 24540789 46853142
68994630,3,142085106 145632676 68994630
35936134,3,39693274 38504923 35936134
44567101,3,82293234 44567101 45267575
208496591,3,208496591 1417491 82048807
203728263,3,203832297 208372076 203728263
76722056,3,76722056 38320626 902895
72113935,3,72408112 24026202 72113935
119373362,3,100750216 136851394 119373362
10932636,3,10932636 11494885 44995526
36178120,3,36178120 39492009 208151780
33885695,3,33822171 39485549 33885695
35620680,3,35620680 1293531 195883046
197406922,3,52803657 197406922 22827751
134136673,3,134136673 133328930 133696957
19064154,3,43185600 44256362 19064154
61448798,3,35148429 61448798 14483807
54430579,3,54406178 54430579 54414445
704383,3,704383 17052695 56828023
99258370,3,140028256 99258370 139243314
8062157,3,27985898 8062157 40476479
10392086,3,30588777 40812589 10392086
